GEO_ID,NAME,B19013_001E,B19013_001M
42101034100,"Census Tract 341, Philadelphia County, Pennsylvania",73309,6624
42101034200,"Census Tract 342, Philadelphia County, Pennsylvania",67917,10851
42101034400,"Census Tract 344, Philadelphia County, Pennsylvania",77132,8246
42101034501,"Census Tract 345.01, Philadelphia County, Pennsylvania",35665,7879
42101034502,"Census Tract 345.02, Philadelphia County, Pennsylvania",45164,5650
42101034600,"Census Tract 346, Philadelphia County, Pennsylvania",43654,9690
42101034701,"Census Tract 347.01, Philadelphia County, Pennsylvania",55244,5796
42101034702,"Census Tract 347.02, Philadelphia County, Pennsylvania",68636,24281
42101034801,"Census Tract 348.01, Philadelphia County, Pennsylvania",57463,8024
42101034802,"Census Tract 348.02, Philadelphia County, Pennsylvania",44074,7066
42101034803,"Census Tract 348.03, Philadelphia County, Pennsylvania",68594,15179
42101034900,"Census Tract 349, Philadelphia County, Pennsylvania",52017,4592
42101035100,"Census Tract 351, Philadelphia County, Pennsylvania",55081,3727
42101035200,"Census Tract 352, Philadelphia County, Pennsylvania",82419,10998
42101035301,"Census Tract 353.01, Philadelphia County, Pennsylvania",79434,8222
42101035302,"Census Tract 353.02, Philadelphia County, Pennsylvania",54739,6348
42101035500,"Census Tract 355, Philadelphia County, Pennsylvania",56042,13912
42101035601,"Census Tract 356.01, Philadelphia County, Pennsylvania",52673,6506
42101035602,"Census Tract 356.02, Philadelphia County, Pennsylvania",81912,13003
42101035701,"Census Tract 357.01, Philadelphia County, Pennsylvania",35246,4200
42101035702,"Census Tract 357.02, Philadelphia County, Pennsylvania",43047,12937
42101035800,"Census Tract 358, Philadelphia County, Pennsylvania",61389,12378
42101035900,"Census Tract 359, Philadelphia County, Pennsylvania",63426,10350
42101036000,"Census Tract 360, Philadelphia County, Pennsylvania",59219,16295
42101036100,"Census Tract 361, Philadelphia County, Pennsylvania",59010,5569
42101036201,"Census Tract 362.01, Philadelphia County, Pennsylvania",74360,6587
42101036202,"Census Tract 362.02, Philadelphia County, Pennsylvania",65049,8959
42101036203,"Census Tract 362.03, Philadelphia County, Pennsylvania",76807,5595
42101036301,"Census Tract 363.01, Philadelphia County, Pennsylvania",63909,5821
42101036302,"Census Tract 363.02, Philadelphia County, Pennsylvania",55313,15033
42101036303,"Census Tract 363.03, Philadelphia County, Pennsylvania",78250,10927
42101036400,"Census Tract 364, Philadelphia County, Pennsylvania",66375,18662
42101036501,"Census Tract 365.01, Philadelphia County, Pennsylvania",54920,18226
42101036502,"Census Tract 365.02, Philadelphia County, Pennsylvania",101875,22543
42101036600,"Census Tract 366, Philadelphia County, Pennsylvania",125921,9111
42101036700,"Census Tract 367, Philadelphia County, Pennsylvania",132545,27309
42101036900,"Census Tract 369, Philadelphia County, Pennsylvania",28099,7852
42101037200,"Census Tract 372, Philadelphia County, Pennsylvania",56656,11025
42101037300,"Census Tract 373, Philadelphia County, Pennsylvania",82230,11567
42101037500,"Census Tract 375, Philadelphia County, Pennsylvania",75566,6784
42101037600,"Census Tract 376, Philadelphia County, Pennsylvania",75098,14944
42101037700,"Census Tract 377, Philadelphia County, Pennsylvania",22689,6449
42101037800,"Census Tract 378, Philadelphia County, Pennsylvania",59958,14741
42101037900,"Census Tract 379, Philadelphia County, Pennsylvania",60136,9279
42101038000,"Census Tract 380, Philadelphia County, Pennsylvania",40792,7476
42101038100,"Census Tract 381, Philadelphia County, Pennsylvania",32120,19657
42101038200,"Census Tract 382, Philadelphia County, Pennsylvania",29308,7013
42101038300,"Census Tract 383, Philadelphia County, Pennsylvania",20972,18268
42101038400,"Census Tract 384, Philadelphia County, Pennsylvania",82315,10114
42101038500,"Census Tract 385, Philadelphia County, Pennsylvania",90188,24170
42101038600,"Census Tract 386, Philadelphia County, Pennsylvania",133036,34517
42101038700,"Census Tract 387, Philadelphia County, Pennsylvania",143646,26241
42101038800,"Census Tract 388, Philadelphia County, Pennsylvania",78036,12277
42101038900,"Census Tract 389, Philadelphia County, Pennsylvania",33777,13786
42101039000,"Census Tract 390, Philadelphia County, Pennsylvania",29613,9002
42101980000,"Census Tract 9800, Philadelphia County, Pennsylvania",70833,9043
42101980100,"Census Tract 9801, Philadelphia County, Pennsylvania",,
42101980200,"Census Tract 9802, Philadelphia County, Pennsylvania",99375,42827
42101980300,"Census Tract 9803, Philadelphia County, Pennsylvania",,
42101980400,"Census Tract 9804, Philadelphia County, Pennsylvania",,
42101980500,"Census Tract 9805, Philadelphia County, Pennsylvania",,
